%FAMILY zh-tc

// ========================================================
// MARK : PURPOSE
// ========================================================

&&Svd_phase_0 序章
&&Svd_phase_1 覺醒的睡美人
&&Svd_phase_2 幽靈
&&Svd_phase_3 忒修斯之船
&&Svd_phase_4 不可思議的世界
&&Svd_phase_5 Alice・in・Cradle
&&Svd_phase_6 終章 - 星

&&scenario_desc_pvv_0000 搜索看起來能破壞的牆壁
&&scenario_desc_pvv_0001__1 回到家裡
&&scenario_desc_pvv_0002 與普莉姆拉老師上課
&&scenario_desc_pvv_0100 和家人或客人聊天
&&scenario_desc_pvv_0101 前往找尋伊庫夏
&&scenario_desc_pvv_0102 前往城鎮
&&scenario_desc_pvv_0103 幫助獸人
&&scenario_desc_pvv_0104__3 為了幫助伊庫夏與大型魔族戰鬥

&&scenario_wip (製作中)


// ========================================================
// MARK : ver0.23 added
// ========================================================

// ↑ の scenario_desc_*** も一部わずかに変更があります。ご確認下さい (hinayua_r18)

// ========================================================
// MARK : Quest
// ========================================================


&&quest__p999_trial_finished 這次的劇情到此為止，\n敬請期待下次的更新。

&&quest_completed 任務達成！
&&quest_position_notice 確認目的地 <key a/>
&&quest_position_updated 更新目的地 <key a/>
&&quest_position_arrived 到達目的地

&&button_quest_reveal_on_map 確認目的地 
&&button_quest_jump 到任務一覽內確認

&&scenario_desc_pvv_0001__0 姊姊大人所託付的素材被回收了

&&scenario_desc_pvv_0103__1 到沼澤內尋找掉落的炸彈
&&scenario_desc_pvv_0103__3 是確認獸人們的狀況

&&scenario_desc_pvv_0104__0 尋找伊庫夏
&&scenario_desc_pvv_0104__2 尋找伊庫夏的遺落物

&&quest_selecting_multi &1 與 &2 個任務


&&Scenario_Tab_main_quest 主線任務
&&Scenario_Tab_sub_quest 支線任務

&&quest_sort_newer 排序:依據作成時間
&&quest_sort_latest_update 排序:依據更新時間


// ========================================================
// MARK : sub quest
// ========================================================


&&subquest_v022_check_alchemyst_labo 到姊姊大人的工房內確認


// ========================================================
// MARK : TheRoom
// ========================================================

&&Trm_first_play 初次的休息室



// ========================================================
// MARK : ver 0.23d
// ========================================================

&&quest_position_near_arrived 接近目的地




// ========================================================
// MARK : 231004 アルバム
// ========================================================

&&Album_Tab_Fatal 戰敗橋段
&&Album_Tab_Picture 靜態圖
&&Album_Tab_Memory 回憶


&&Album_Memory_005_ixia_a 伊庫夏來探病
&&Album_Memory_005_ixia_b 伊庫夏來探病 (敗北時)
&&Album_Memory_010_primula 普莉姆拉老師和\n沙斯塔祖母大人
&&Album_Memory_011_primula 星空的往事
&&Album_Memory_102_alma 在車站跟阿爾瑪的交談
&&Album_Memory_104_mepha 精靈之里的派遣隊

// ========================================================
// MARK : ver0.25 quest
// ========================================================
&&scenario_desc_pvv_0105_grazia__0 前往貝爾米特士官校
&&scenario_desc_pvv_0105_grazia__1 前往學園的醫務室
&&scenario_desc_pvv_0105_grazia__2 前往西1-2教室


&&quest__subquest_treasurehunt_000 尋找照片的地點 (編織者之森)



// ========================================================
// MARK : 240728 アルバム実装
// ========================================================

// 240729 hinayua: ↑の 231004 実装部分がわずかに修正されています。

&&EV_access_album 相簿
&&Album_Memory_009_primula_a 愛麗絲夢遊仙境
&&Album_Memory_009_primula_b 愛麗絲夢遊仙境 (敗北時)
&&Album_Memory_100_restroom 走廊的偷偷摸摸任務
&&Album_Memory_105_2weekattack 貝爾米特襲擊事件
&&Album_Memory_105_classroom 想成為像你一樣的人
&&Album_Memory_cuts_nightingale_0_0 商人的秘密採購案

&&Album_Play_Memory 播放
&&Album_visible_term 解鎖條件: &1
&&Album_visible_term_episode_1 通過序章
&&Album_visible_term_100_restroom 通過序章後在家裡沐浴
&&Album_visible_term_103 從土蛇那裡救出伊庫夏
&&Album_visible_term_102_alma 與阿爾瑪聊起襲擊事件
&&Album_visible_term_105 到達古拉提亞
&&Album_visible_term_106 在古拉提亞與阿爾瑪上課
&&Album_visible_term_105_2weekattack 在貝爾米特庭院回想起事件
&&Album_visible_term_105_classroom 在貝爾米特上課
&&Album_visible_term_troom 在「魔女的雜貨店」的休息室做服務
&&Album_visible_term_cuts_nightingale_0_0 完成商人委託的跑腿

&&Album_Tab_Osok 懲罰
&&Album_coming_soon 敬請期待...



&&Fatal_exists_in_this_battle 這場戰鬥可絕不能輸...! 
/* ___ Album_fatal_hint ___ */
小提示: 當在戰鬥開始時顯示「這場戰鬥可絕不能輸」通知時，
此戰鬥敗北後將會移至戰敗橋段


&&subquest_nightingale_apple__0 到魔女的雜貨店購買
&&subquest_nightingale_apple__1 交給南丁格爾

// 中黒
&&quest_dot ・ 



// ========================================================
// MARK : ver0.27
// ========================================================

&&scenario_desc_pvv_0106_tigrina_armory__0 幫助謎樣的女學生
&&scenario_desc_pvv_0106_tigrina_armory__1 探索武器庫


// アルバムでのアレ

&&Album_failure_1st 第一次失敗
&&Album_failure_2nd 第二次失敗
&&Album_failure_3rd 第三次失敗
&&Album_visible_term_106_tigrina 潛入武器庫時被士兵發現
&&Album_Osok_106_sneaking_mistake 潛入失敗(武器庫)

&&Album_Memory_106_tigrina_garage 最新交流工學車庫
&&Album_visible_term_106_tigrina_garage 到武器庫取回記憶體晶片


&&scenario_desc_pvv_0106_search_scl__1 探索學園

&&scenario_desc_pvv_0106_search_scl__0 前往餐廳

// ========================================================
// MARK : ver0.28
// ========================================================


&&quest__subquest_city_forge_buy__0 進行法杖的測試


&&scenario_desc_pvv_0107_td__0 指揮貝爾米特的\b防衛作戰


&&scenario_desc_pvv_0107_td_after__0　調查武器庫\b有無侵入者

&&quest__subquest_city_forge_access__0 前往下層鐵匠鋪\n詢問法杖換裝的事宜


// ========================================================
// MARK : ver0.29
// ========================================================

&&scenario_desc_pvv_0200_alice__0 追查幽靈的線索

&&scenario_desc_pvv_0200_alice_goback__0 回到古拉提亞



/* ___ Telop_Trial_end200  ___ */
TO BE CONTINUED

// 現在はまだ使っていません。
&&quest__p999_trial_finished_w 體驗版的內容到此為止。敬請期待後續的製品版。

&&scenario_desc_pvv_0200_alice_mine1__0 尋找第一坑道的入口
&&scenario_desc_pvv_0200_alice_mine1__1 尋找能突破坑道防護罩的方法
&&scenario_desc_pvv_0200_alice_mine1__2 突破第一坑道的防護罩
&&scenario_desc_pvv_0200_alice_mine1__3 在第一坑道搜索幽靈的痕跡


&&scenario_desc_pvv_0200_elec_facil__0 前往電力設施
&&scenario_desc_pvv_0200_elec_facil__1 恢復供電
&&scenario_desc_pvv_0200_elec_facil__3 尋找逃脫的方法
&&scenario_desc_pvv_0200_elec_facil__4 逃出電力設施


